N	F0	m	d_ms	d0	v0	prob	collision
4	3213	678	92	11	55	0.330	0
3	4604	1674	364	15	68	0.440	0
5	889	1597	460	8	91	0.340	0
3	4468	833	193	10	96	0.150	0
4	2053	708	70	8	74	0.280	0
3	2459	1526	310	8	90	0.390	1
7	1330	1766	185	8	102	0.450	0
3	147	1079	161	14	108	0.220	0
5	3975	783	170	18	64	0.470	0
6	3482	694	81	15	101	0.410	0
7	4646	901	362	7	82	0.410	1
8	4678	606	153	8	108	0.050	1
7	2847	1886	339	12	78	0.330	0
4	4667	1600	457	11	64	0.010	0
8	109	849	277	5	89	0.260	0
5	4193	1016	39	10	91	0.360	0
3	4653	1725	192	19	116	0.260	0
5	3466	1121	30	9	98	0.320	0
4	1749	1836	226	12	80	0.020	0
4	3412	897	413	8	94	0.260	1
3	3089	1304	457	14	60	0.060	0
7	744	1614	425	13	90	0.260	0
5	3885	664	449	6	93	0.340	1
4	1319	1043	432	11	82	0.310	0
7	832	1788	159	8	77	0.130	0
4	2532	546	311	15	104	0.190	0
6	3251	797	440	10	63	0.390	1
8	1077	971	18	13	117	0.390	0
3	4334	1694	383	10	101	0.080	1
7	213	844	477	14	71	0.320	0
7	697	1654	360	19	67	0.150	0
6	2761	1999	419	8	99	0.020	1
5	2421	1719	127	8	118	0.100	0
6	3036	505	124	14	98	0.060	0
7	1981	973	90	19	65	0.410	0
3	2136	1729	263	8	80	0.190	0
4	3760	1428	265	5	71	0.190	1
4	1696	1880	31	17	98	0.190	0
7	3992	840	213	5	114	0.350	1
7	2915	1158	21	7	85	0.060	0
4	3140	1576	20	16	94	0.410	0
6	4576	1897	316	10	65	0.010	0
5	130	732	65	13	55	0.130	0
3	4146	611	35	12	112	0.390	0
7	1239	1880	347	14	68	0.070	0
8	4351	1661	482	5	82	0.060	1
8	1373	1752	460	5	57	0.450	1
5	4678	947	290	7	65	0.460	1
3	2887	743	10	16	94	0.200	0
3	2615	579	8	17	53	0.310	0
4	563	1806	216	16	52	0.400	0
7	3281	1213	297	14	109	0.460	0
5	3789	1937	146	9	82	0.190	0
4	3153	1498	138	8	70	0.110	0
5	4438	1044	447	10	76	0.430	1
7	1644	1144	369	11	118	0.420	0
8	3335	1056	361	17	105	0.140	0
6	3272	916	466	9	53	0.070	0
4	3325	1239	395	15	83	0.360	0
7	4715	1297	356	8	52	0.130	0
4	4915	1186	57	13	92	0.240	0
3	3501	1143	137	14	101	0.040	0
5	3407	1432	209	7	112	0.430	1
3	1256	827	388	17	102	0.050	0
4	1716	1323	411	9	114	0.390	1
8	4358	720	329	8	115	0.290	1
6	479	954	113	17	92	0.330	0
4	345	873	404	9	111	0.420	0
7	1961	1117	294	10	107	0.080	0
4	989	1561	92	14	85	0.240	0
3	2383	942	424	8	63	0.300	1
4	1596	1723	258	6	55	0.320	0
7	810	575	252	19	68	0.040	0
5	4495	1328	77	15	112	0.210	0
6	3258	1757	278	17	104	0.070	0
7	902	1939	182	6	111	0.010	0
7	655	1483	259	6	70	0.080	0
3	4438	1604	102	19	106	0.200	0
5	4593	1288	156	19	92	0.490	0
5	2790	1860	245	14	114	0.370	0
8	835	757	293	19	79	0.460	0
6	3101	862	358	11	97	0.470	1
8	1080	1718	56	13	74	0.320	0
6	2208	1665	369	12	96	0.470	0
6	165	1655	12	16	118	0.290	0
5	3338	1832	481	17	103	0.020	0
6	743	644	454	19	51	0.250	0
8	4359	1672	4	14	101	0.020	0
5	2262	1474	146	19	89	0.450	0
6	3880	1582	363	16	117	0.300	0
7	3617	1115	436	7	65	0.050	1
7	1839	1623	210	5	58	0.200	0
5	775	554	279	19	55	0.080	0
6	770	1929	377	11	60	0.260	0
5	1852	1286	293	6	74	0.300	1
6	2977	974	425	19	94	0.370	0
