N	F0	m	d_ms	d0	v0	prob	collision
8	4960	581	168	10	78	0.140	0
5	2589	1502	69	19	89	0.030	0
4	1164	1442	352	17	110	0.300	0
6	3447	1083	148	14	88	0.240	0
7	2011	1591	56	7	115	0.150	0
5	3222	1083	233	19	98	0.460	0
7	4289	764	162	6	51	0.080	0
6	2285	971	224	7	82	0.270	1
5	4351	754	368	12	75	0.130	0
4	822	1333	494	8	102	0.250	0
7	3134	1412	25	19	111	0.040	0
7	2397	889	191	8	51	0.490	0
8	4702	1104	145	7	52	0.390	0
7	1874	784	218	7	99	0.230	1
3	3704	792	417	10	81	0.260	1
7	1349	1694	177	19	110	0.080	0
6	4173	1933	271	17	85	0.340	0
5	1869	1933	387	9	74	0.050	0
4	2634	1494	115	5	105	0.370	1
4	3327	1476	417	16	51	0.460	0
8	2811	1228	264	11	119	0.290	0
7	3211	1624	199	13	97	0.190	0
3	2474	1179	70	11	88	0.040	0
7	2064	574	259	10	110	0.190	1
4	2985	935	452	8	98	0.410	1
6	1049	515	27	17	80	0.020	0
5	2800	1981	143	12	82	0.480	0
5	892	507	475	5	89	0.160	1
6	3582	1825	76	11	57	0.480	0
7	3819	995	61	9	84	0.380	0
3	3663	974	420	5	97	0.070	1
5	3503	1074	258	16	52	0.460	0
3	2131	1180	75	16	57	0.360	0
3	2870	861	187	13	59	0.460	0
3	1741	706	247	15	76	0.390	0
4	712	972	405	16	82	0.240	0
5	2146	1046	98	19	66	0.420	0
6	3046	1491	122	12	94	0.090	0
7	2196	888	181	15	59	0.210	0
5	1230	995	447	14	62	0.390	0
4	4272	1790	370	11	58	0.100	0
8	1124	588	200	13	116	0.400	0
8	3953	883	37	10	85	0.140	0
6	648	714	171	7	107	0.380	0
6	2929	1354	155	17	94	0.200	0
8	3273	650	301	5	87	0.220	1
3	4155	909	153	15	59	0.270	0
3	4707	1953	138	8	113	0.300	0
3	2782	1399	378	9	94	0.430	1
5	3801	1731	35	11	88	0.050	0
8	3737	1573	493	6	87	0.400	1
4	1510	1377	350	19	63	0.050	0
6	3442	1696	431	9	64	0.200	0
4	4722	979	164	17	87	0.110	0
6	114	1412	272	14	88	0.420	0
4	551	1099	166	8	104	0.010	0
8	1121	526	440	7	53	0.110	1
4	4139	1438	428	18	90	0.150	0
3	459	1296	497	11	54	0.040	0
3	1588	1326	188	5	82	0.460	0
3	3989	1038	334	11	79	0.160	0
7	1348	853	383	11	92	0.030	0
7	574	1429	454	7	67	0.140	0
3	3607	1767	263	10	85	0.030	0
4	2784	1750	110	19	91	0.360	0
4	4219	933	245	15	88	0.340	0
3	3821	1878	426	14	77	0.260	0
7	1034	1060	277	5	98	0.440	1
5	1641	917	34	7	53	0.460	0
7	4283	581	420	19	119	0.090	0
6	1040	559	196	18	113	0.320	0
4	477	967	308	5	59	0.090	0
6	4420	1977	220	10	56	0.290	0
8	4959	1801	68	9	95	0.230	0
5	4180	1115	171	12	80	0.450	0
5	4343	1958	141	7	108	0.230	0
5	465	1744	422	11	52	0.050	0
5	3681	925	215	18	90	0.410	0
8	241	1720	468	16	103	0.390	0
7	1459	1006	28	7	64	0.110	0
6	4596	1490	398	8	119	0.460	1
6	4792	1339	251	12	70	0.260	0
4	1089	504	153	14	113	0.080	0
8	1988	966	53	6	70	0.260	0
6	2111	1583	30	19	95	0.010	0
8	518	1996	43	16	89	0.490	0
3	211	885	91	16	51	0.380	0
4	4431	1687	412	15	62	0.130	0
7	258	914	309	9	100	0.240	0
4	3656	1257	324	14	60	0.390	0
8	3760	1144	46	5	73	0.290	0
5	4247	1434	261	16	54	0.280	0
8	142	526	466	5	80	0.170	0
5	1352	1200	378	19	114	0.240	0
5	4889	894	69	7	81	0.050	0
7	1828	807	445	13	60	0.050	0
4	4125	1862	358	13	97	0.070	0
8	1147	628	91	7	78	0.310	0
4	1795	1232	283	7	118	0.330	0
8	632	1452	248	9	88	0.330	0
3	4391	612	368	5	91	0.140	1
4	2310	786	35	8	99	0.280	0
4	574	942	54	6	54	0.210	0
3	2669	1057	429	17	64	0.250	0
4	2282	1873	33	16	107	0.160	0
4	3798	1233	356	6	88	0.020	1
3	4299	960	362	8	73	0.410	1
8	1124	918	20	17	106	0.290	0
5	1594	1274	104	12	116	0.240	0
5	1977	887	30	9	79	0.420	0
3	2361	1009	131	11	57	0.210	0
4	3124	1725	411	12	94	0.020	0
6	1281	1320	125	6	52	0.470	0
3	4137	702	297	7	101	0.080	1
8	1012	720	66	14	56	0.480	0
5	4726	1641	442	18	57	0.450	0
8	1588	939	264	11	92	0.160	0
8	976	1095	450	7	100	0.080	0
8	4786	925	264	9	104	0.330	1
6	4152	764	169	19	76	0.280	0
7	3057	1216	414	6	110	0.230	1
7	4762	1590	295	7	110	0.490	1
4	317	630	21	19	80	0.480	0
8	2091	952	104	10	68	0.070	0
4	2344	1808	44	8	100	0.210	0
3	3326	1700	400	14	57	0.340	0
5	3194	1852	323	16	61	0.230	0
4	3423	1845	167	11	110	0.230	0
3	116	678	340	8	112	0.360	0
8	1892	1343	45	11	85	0.390	0
6	2552	1764	133	10	87	0.130	0
7	3287	1961	115	19	84	0.330	0
4	1008	1241	287	9	119	0.180	0
3	1758	1758	444	6	61	0.090	0
6	515	1064	41	7	90	0.270	0
4	1133	752	375	13	92	0.240	0
7	3765	673	184	5	111	0.400	1
7	1920	1906	265	10	76	0.290	0
4	1187	977	99	18	60	0.470	0
7	3725	1465	329	19	97	0.050	0
4	617	1273	361	18	61	0.060	0
6	2297	1019	419	16	93	0.170	0
3	603	784	280	7	86	0.310	0
5	1065	561	92	19	77	0.050	0
3	4278	652	491	10	52	0.170	1
5	219	1537	58	16	89	0.130	0
7	2153	1361	73	6	87	0.040	0
4	576	1541	94	6	83	0.230	0
5	4625	802	445	5	62	0.420	1
6	1772	729	353	5	55	0.020	1
8	4659	1374	212	8	81	0.380	1
3	152	1835	206	5	53	0.280	0
8	3370	1619	109	9	70	0.360	0
5	3162	553	306	15	95	0.180	0
3	4490	1336	99	17	92	0.310	0
3	3943	1760	493	11	107	0.130	1
6	2877	1446	354	5	107	0.440	1
8	1001	879	383	13	71	0.070	0
7	1485	1855	211	12	109	0.090	0
8	3630	728	486	11	50	0.230	0
8	4748	1497	330	11	102	0.070	0
4	1920	1227	150	8	108	0.120	0
4	326	1176	173	18	107	0.220	0
4	4067	1518	289	13	98	0.130	0
6	4231	1201	230	15	91	0.070	0
4	2306	626	266	6	117	0.310	1
5	4735	1729	228	17	112	0.300	0
5	3985	787	207	16	53	0.010	0
8	3706	537	343	19	61	0.120	0
7	3868	677	476	19	75	0.260	0
4	190	897	453	12	82	0.320	0
3	4117	609	232	18	78	0.190	0
4	4403	563	3	6	119	0.410	1
6	2988	615	279	10	60	0.010	0
5	4817	1915	370	14	74	0.390	0
7	2578	510	199	17	114	0.420	0
6	1495	1250	146	17	56	0.190	0
8	1532	669	21	19	73	0.030	0
6	4048	1459	189	6	92	0.170	1
8	1939	1804	326	17	92	0.160	0
7	4120	1901	291	19	52	0.060	0
5	3738	1914	477	17	100	0.040	0
5	4541	864	393	10	53	0.140	0
5	623	1905	143	17	70	0.030	0
5	2122	1039	127	5	73	0.300	0
8	2577	890	477	11	105	0.400	1
3	1339	1782	286	12	56	0.190	0
8	743	1202	108	7	86	0.150	0
4	913	1768	144	8	99	0.450	0
6	2894	1118	462	6	100	0.130	1
3	2718	899	226	6	60	0.180	0
4	2179	1320	328	12	84	0.010	0
5	1676	1539	223	14	79	0.470	0
7	1783	1323	265	13	87	0.090	0
3	641	1461	432	15	82	0.030	0
5	401	1799	85	8	99	0.400	0
3	3987	1900	379	11	100	0.430	0
7	1147	1684	259	13	83	0.290	0
5	4682	1088	336	7	63	0.370	1
6	1399	1413	316	18	104	0.320	0
5	2620	556	175	8	79	0.210	0
5	359	1705	63	8	57	0.100	0
5	1429	1675	393	11	57	0.320	0
8	1343	1674	29	17	74	0.050	0
4	2839	1143	202	16	101	0.180	0
7	2893	770	200	12	54	0.350	0
7	1979	1025	344	9	96	0.200	1
7	2662	1107	86	5	108	0.010	0
3	2037	900	261	19	57	0.450	0
3	695	895	182	9	56	0.160	0
8	4399	1708	237	10	100	0.180	0
8	4572	1512	440	6	86	0.140	1
5	4627	833	381	18	96	0.290	0
8	1074	1911	422	9	53	0.370	0
6	4935	565	334	8	71	0.210	1
4	1621	1131	198	11	108	0.390	0
5	4682	1625	17	8	68	0.290	0
6	1370	907	230	8	88	0.420	1
8	4836	534	292	7	58	0.360	1
6	2556	1091	224	5	104	0.280	1
8	4637	718	229	7	76	0.360	1
4	273	657	415	15	54	0.360	0
4	2402	996	416	7	112	0.210	1
5	4793	723	231	15	104	0.180	0
5	2671	1898	40	8	60	0.370	0
7	2791	1293	231	6	118	0.030	1
8	4033	1972	369	14	82	0.150	0
8	4535	1740	108	19	89	0.440	0
7	3439	1132	20	8	96	0.390	0
6	1274	825	448	6	84	0.270	1
7	127	964	141	16	84	0.040	0
6	960	697	156	16	95	0.310	0
6	2519	659	394	7	114	0.440	1
7	2720	1250	19	19	77	0.210	0
6	1723	1995	340	13	59	0.030	0
6	484	1131	212	17	117	0.280	0
5	4847	870	478	13	62	0.320	0
8	1323	998	390	5	113	0.060	1
7	1318	555	112	5	116	0.370	1
8	4407	1231	104	6	110	0.010	0
5	1510	1728	468	16	57	0.370	0
5	1616	1120	244	7	108	0.070	0
3	4526	1103	203	18	55	0.490	0
8	4148	1724	309	7	78	0.050	1
3	4503	990	417	9	86	0.470	1
3	2802	1722	96	7	60	0.140	0
4	1206	1208	90	8	88	0.110	0
5	2769	1020	90	8	76	0.240	0
4	2605	1583	437	6	59	0.240	1
4	1741	1669	86	14	94	0.030	0
5	2329	1541	301	15	83	0.180	0
5	2764	885	249	5	71	0.340	1
8	1371	1442	122	19	68	0.490	0
6	1594	1993	110	9	100	0.350	0
8	2273	1435	396	6	105	0.150	1
5	4459	543	336	17	80	0.400	0
5	4652	720	42	16	104	0.050	0
3	1210	775	368	18	59	0.010	0
5	3095	746	266	5	106	0.050	1
3	1445	597	155	8	84	0.420	0
3	757	1493	41	5	115	0.080	0
8	2546	825	235	16	74	0.430	0
3	3748	671	248	14	57	0.310	0
8	4773	1079	53	12	117	0.060	0
8	1112	982	405	18	83	0.410	0
5	3820	672	93	17	52	0.360	0
5	714	952	169	18	54	0.340	0
4	725	1451	483	11	119	0.070	0
4	481	1698	419	10	96	0.060	0
4	3788	529	393	8	77	0.420	1
8	707	1662	216	13	92	0.020	0
7	179	696	96	11	75	0.090	0
5	603	1223	64	11	73	0.370	0
5	260	765	125	12	90	0.170	0
6	1338	1970	194	13	98	0.400	0
3	4607	921	201	13	111	0.420	0
5	4509	1412	172	5	96	0.130	1
4	1229	1881	340	19	85	0.240	0
3	4999	1228	63	16	73	0.030	0
4	4551	1181	314	11	55	0.170	0
5	4687	1264	446	12	76	0.250	0
3	4533	550	409	7	109	0.470	1
7	155	1640	332	8	113	0.420	0
7	1639	1437	170	11	57	0.330	0
7	2503	1201	2	15	116	0.460	0
4	4578	962	474	7	68	0.240	1
6	4690	675	330	10	106	0.080	1
3	1098	982	211	10	73	0.490	0
8	3910	771	38	18	63	0.400	0
4	2741	567	457	12	110	0.470	1
8	4250	603	295	18	51	0.170	0
3	2672	1582	203	6	91	0.300	0
8	517	1407	18	16	61	0.150	0
4	3654	1754	292	18	100	0.060	0
6	1512	758	438	17	53	0.120	0
6	600	759	424	16	53	0.440	0
7	3449	624	104	17	105	0.400	0
3	4528	697	37	14	92	0.460	0
7	4668	908	382	11	109	0.060	1
5	669	1725	413	17	97	0.070	0
8	1322	1489	468	11	70	0.280	0
3	4146	1621	420	5	107	0.280	1
5	4890	1343	437	7	84	0.290	1
4	177	1162	300	5	111	0.060	0
4	4973	1566	320	18	108	0.200	0
4	2550	928	97	10	85	0.300	0
3	233	1509	20	9	98	0.210	0
5	1608	1861	209	8	92	0.380	0
5	4532	911	303	11	76	0.270	0
7	3799	1443	193	13	60	0.050	0
8	1673	757	313	17	93	0.140	0
6	1196	688	368	5	91	0.020	1
8	4344	635	406	6	90	0.040	1
7	4085	1288	112	16	114	0.160	0
3	391	1783	177	14	94	0.480	0
6	2422	707	115	6	107	0.060	0
6	3759	1711	412	12	101	0.280	1
4	3437	1717	103	7	98	0.110	0
7	1355	519	131	14	80	0.140	0
6	2782	1827	113	18	90	0.130	0
8	1405	1139	29	17	88	0.330	0
7	1982	1748	434	18	94	0.080	0
5	2237	719	124	8	87	0.120	0
6	3240	1005	5	7	107	0.200	0
8	4506	1118	226	11	64	0.360	0
7	344	1993	117	15	58	0.390	0
4	901	1822	152	10	89	0.440	0
5	2079	1899	187	17	95	0.080	0
4	2794	1523	499	19	81	0.400	0
3	623	1975	180	5	102	0.160	0
8	1704	721	40	16	97	0.450	0
4	3043	1804	110	19	82	0.220	0
6	1227	1972	427	7	102	0.040	0
6	218	681	75	16	119	0.140	0
7	570	1171	107	13	78	0.480	0
8	1123	877	138	15	56	0.480	0
5	1056	702	200	13	50	0.420	0
3	388	643	266	17	75	0.470	0
8	2645	1008	37	19	85	0.460	0
8	2034	1153	469	6	65	0.480	1
8	2784	1303	287	11	99	0.350	0
8	2357	1153	163	6	65	0.420	1
5	4692	1182	274	16	91	0.140	0
4	3626	1144	46	9	116	0.220	0
3	1657	510	469	18	110	0.010	0
7	1793	1387	412	12	86	0.090	0
8	1660	1549	378	6	111	0.090	1
5	796	601	48	14	116	0.340	0
7	2806	1266	4	17	91	0.350	0
4	4400	1134	492	10	116	0.180	1
6	2200	1321	45	8	86	0.030	0
8	1314	1205	25	5	69	0.250	0
6	4097	1184	34	17	79	0.420	0
4	1369	1047	165	8	53	0.170	0
7	2629	777	314	15	97	0.300	0
7	1920	660	109	15	57	0.430	0
6	4444	1665	134	6	83	0.300	0
3	1772	1019	377	19	111	0.130	0
8	4528	1426	391	10	118	0.100	1
3	4390	892	17	19	50	0.380	0
4	3446	1506	107	9	50	0.490	0
6	1951	512	348	17	52	0.280	0
3	2955	1876	222	9	79	0.410	0
6	1305	1318	149	17	68	0.380	0
6	1589	779	26	7	109	0.150	0
8	2010	1536	258	15	100	0.260	0
3	1165	1692	494	8	80	0.010	0
3	3517	1722	426	12	58	0.450	0
5	1452	1034	444	7	101	0.220	1
4	3943	1848	203	12	91	0.300	0
4	1474	579	154	12	99	0.350	0
6	4670	829	308	9	60	0.170	0
3	350	594	458	11	118	0.490	0
7	4992	833	280	15	61	0.150	0
8	4502	1824	109	12	65	0.350	0
5	909	1656	378	13	105	0.150	0
3	1719	1641	27	17	70	0.140	0
7	2998	1227	432	12	99	0.340	1
3	2501	1558	491	17	66	0.280	0
5	1617	1041	468	11	118	0.310	0
7	4831	1267	223	8	117	0.220	1
6	1708	1869	33	18	106	0.010	0
7	2996	1251	143	16	65	0.280	0
4	2929	1239	311	12	78	0.480	0
4	3435	1018	490	17	106	0.150	0
8	2755	809	426	10	93	0.240	1
4	4534	994	167	16	62	0.360	0
5	3992	749	254	12	113	0.200	0
6	4641	1398	358	11	76	0.350	0
8	3458	919	12	19	108	0.320	0
7	1766	978	104	12	101	0.330	0
7	1347	1377	325	14	78	0.420	0
8	3192	1398	279	17	80	0.290	0
5	1055	1526	346	17	91	0.490	0
3	1871	1743	123	5	52	0.020	0
3	3358	584	100	18	93	0.110	0
4	2396	1450	23	16	61	0.440	0
5	316	1403	136	17	80	0.320	0
5	1890	1296	308	5	119	0.290	1
5	127	514	203	13	63	0.440	0
4	4335	1716	391	12	116	0.120	1
8	1168	1683	344	19	58	0.330	0
4	601	1420	322	11	118	0.380	0
7	4547	654	73	19	68	0.020	0
5	3348	585	161	6	64	0.250	1
5	868	696	75	17	103	0.450	0
4	225	1534	453	19	105	0.460	0
7	2704	1306	222	5	77	0.110	1
5	2253	1098	398	13	52	0.030	0
7	831	857	156	6	73	0.070	0
6	809	1606	188	11	78	0.360	0
3	3267	1863	258	12	85	0.290	0
5	1541	1780	238	15	84	0.210	0
4	2173	1799	181	17	80	0.180	0
6	3315	1692	72	13	92	0.160	0
7	3827	917	3	16	55	0.010	0
4	838	755	327	7	106	0.060	0
5	2066	1725	261	5	52	0.320	0
3	2713	517	218	11	119	0.050	0
3	815	1375	237	18	66	0.400	0
7	4347	1534	302	13	119	0.320	0
4	4847	1690	421	18	62	0.180	0
7	3751	1318	90	13	87	0.220	0
3	170	1714	14	13	85	0.400	0
6	4572	1479	323	5	86	0.190	1
4	3445	1587	157	13	51	0.040	0
4	2663	1107	193	8	66	0.490	1
8	3508	737	435	8	66	0.300	1
3	4002	1041	136	13	87	0.360	0
6	3514	1629	99	10	68	0.470	0
6	3730	1443	484	12	69	0.360	0
4	2603	1902	202	5	54	0.390	1
3	4069	766	363	14	110	0.130	0
8	4262	943	412	18	62	0.280	0
5	4837	1579	87	19	94	0.160	0
8	4443	881	74	11	102	0.120	0
6	1879	1049	334	14	50	0.300	0
5	3930	1785	327	11	59	0.190	0
5	3941	1758	44	15	74	0.150	0
7	1786	1865	110	15	78	0.430	0
4	2086	1910	208	12	85	0.270	0
4	2063	925	204	5	113	0.090	1
7	2400	606	424	9	106	0.050	1
6	437	860	407	15	60	0.350	0
8	4647	1335	160	16	83	0.470	0
7	1299	1029	445	12	87	0.040	0
4	118	1063	270	5	73	0.420	0
8	974	1641	247	9	64	0.140	0
3	2319	838	177	13	96	0.490	0
6	4868	1789	38	17	102	0.020	0
6	1352	845	494	5	99	0.330	1
7	4431	1868	385	11	109	0.430	1
4	918	1195	150	7	82	0.180	0
8	2176	1398	313	18	94	0.320	0
4	1635	847	475	5	91	0.110	1
7	4715	900	216	12	117	0.420	0
7	4959	1714	200	15	117	0.050	0
6	3119	1763	312	14	117	0.010	0
6	4033	1569	78	7	64	0.290	0
5	3606	756	20	14	117	0.010	0
8	857	1293	165	16	57	0.150	0
5	3188	860	482	13	55	0.310	0
8	2730	1491	392	11	54	0.490	0
5	396	1222	284	18	57	0.260	0
6	3072	558	2	15	106	0.480	0
6	3717	1722	98	10	67	0.060	0
6	3316	694	68	8	69	0.320	0
5	1124	1268	240	6	85	0.020	0
4	3408	777	435	15	101	0.240	1
3	2757	1695	327	8	74	0.040	0
8	4858	874	451	18	76	0.110	0
4	4235	1427	121	19	57	0.200	0
5	2569	1351	159	10	114	0.150	0
4	879	1976	47	16	52	0.420	0
5	4141	654	414	16	84	0.260	0
7	2216	1746	72	14	62	0.350	0
8	1323	1609	403	9	80	0.050	0
4	2473	1339	282	6	113	0.140	1
4	3886	1661	367	14	92	0.250	0
4	1082	1546	47	6	98	0.060	0
6	3284	935	66	13	113	0.050	0
5	2480	695	327	15	80	0.260	0
3	405	1650	86	18	98	0.460	0
4	1702	576	476	9	99	0.230	1
6	855	1749	150	17	89	0.040	0
6	2348	576	417	8	107	0.230	1
7	1074	1676	254	14	115	0.080	0
5	1538	1119	6	15	92	0.480	0
5	3248	861	145	7	56	0.300	0
4	2047	1639	148	15	53	0.030	0
5	4292	1586	130	13	73	0.030	0
7	2750	623	337	5	105	0.480	1
8	1589	1344	423	19	74	0.410	0
7	4776	1636	349	10	92	0.170	0
6	3119	1347	145	7	66	0.090	0
6	2497	699	462	17	90	0.380	0
4	843	726	111	11	94	0.110	0
8	3274	995	475	10	92	0.100	1
5	4617	1083	121	12	95	0.190	0
5	3840	778	241	10	92	0.280	1
4	329	1183	103	12	112	0.390	0
4	479	1502	473	5	57	0.070	0
4	4624	1615	366	14	52	0.460	0
4	442	1287	293	14	65	0.440	0
7	4776	1242	96	7	78	0.260	0
6	957	1593	287	5	109	0.400	0
6	4305	829	172	17	59	0.140	0
4	1054	1252	462	13	55	0.400	0
4	3079	1772	71	6	83	0.130	0
4	503	1810	144	15	116	0.450	0
5	4151	967	30	10	60	0.190	0
7	583	1926	352	15	99	0.040	0
7	1114	1720	178	10	98	0.370	0
8	2993	1566	17	18	51	0.180	0
7	569	1893	283	13	68	0.180	0
8	4192	644	346	12	119	0.050	1
6	4027	723	383	18	55	0.390	0
5	846	1686	298	19	83	0.290	0
8	1342	967	408	13	119	0.390	0
8	3949	1395	175	15	56	0.040	0
6	4892	614	140	17	55	0.460	0
6	2112	1371	349	5	80	0.050	1
5	4822	1845	117	6	79	0.160	0
4	1021	1068	145	5	56	0.020	0
3	1641	1111	489	5	91	0.330	1
3	2849	691	180	13	63	0.100	0
5	4743	1886	62	12	87	0.410	0
4	2128	760	418	16	78	0.310	0
6	4445	1784	436	14	94	0.350	0
6	1255	868	76	19	76	0.330	0
3	3948	1798	189	7	73	0.420	0
8	294	1852	421	17	73	0.130	0
6	1341	548	37	7	74	0.190	0
4	3743	679	423	13	118	0.360	1
3	818	1949	442	12	108	0.200	0
3	1568	1650	7	13	63	0.430	0
6	551	879	37	7	89	0.250	0
8	4772	517	309	8	50	0.230	1
5	4625	1919	438	16	69	0.050	0
6	3738	706	282	7	81	0.490	1
5	3197	1783	59	17	85	0.250	0
4	4327	1623	57	8	62	0.290	0
6	3269	718	259	13	82	0.020	0
8	3500	1258	345	16	102	0.420	0
4	4960	1898	306	15	83	0.110	0
6	3747	599	106	14	55	0.370	0
4	4004	1876	375	6	61	0.330	1
4	2328	665	397	8	67	0.190	1
3	2971	694	29	19	96	0.120	0
6	1610	745	57	13	55	0.150	0
3	3974	953	316	11	116	0.100	1
4	2477	585	425	11	107	0.030	1
3	1919	1061	65	10	115	0.400	0
7	1720	931	452	14	58	0.150	0
8	3955	1974	191	10	51	0.130	0
6	609	1597	56	14	86	0.180	0
7	4157	777	465	8	115	0.200	1
6	1902	686	140	6	88	0.060	0
3	4302	1050	323	15	58	0.410	0
6	842	1789	266	10	50	0.050	0
6	3201	1004	83	12	114	0.010	0
5	1249	670	146	8	84	0.170	0
8	901	816	206	12	71	0.170	0
6	2888	705	263	16	94	0.180	0
4	2851	1077	61	6	59	0.140	0
6	764	855	187	13	105	0.400	0
5	2160	900	301	5	111	0.080	1
6	3004	1524	80	15	100	0.260	0
8	647	1301	423	19	119	0.310	0
5	4448	1318	130	5	110	0.370	1
6	1286	1637	244	12	94	0.330	0
4	1191	575	115	16	116	0.390	0
6	170	1442	365	11	87	0.350	0
4	2990	725	112	10	52	0.340	0
3	1605	551	245	10	113	0.350	0
5	1587	794	162	5	117	0.340	1
6	4950	751	208	14	117	0.110	0
4	2607	910	176	10	117	0.100	0
4	814	1134	175	14	67	0.280	0
5	1165	764	395	8	65	0.150	0
5	595	1064	95	14	117	0.470	0
3	2954	755	77	9	59	0.480	0
7	1326	1404	370	9	55	0.450	0
5	4255	927	465	17	76	0.420	0
4	3260	1228	423	5	97	0.110	1
7	1502	1840	73	15	110	0.420	0
6	1483	854	144	6	117	0.320	0
6	3643	1300	391	15	52	0.110	0
8	1044	1678	488	5	62	0.170	1
4	1278	655	315	17	73	0.430	0
4	3142	1669	179	5	73	0.190	1
8	3957	995	284	11	89	0.500	1
8	3522	1462	5	11	89	0.440	0
8	4323	727	430	15	77	0.380	1
6	4463	1910	241	18	90	0.230	0
8	3377	850	348	7	76	0.070	1
7	3777	1639	42	9	52	0.440	0
6	902	1302	22	8	63	0.010	0
7	3715	1077	428	6	100	0.420	1
5	3932	579	44	19	61	0.140	0
6	825	1861	333	11	97	0.420	0
4	229	912	116	10	88	0.400	0
8	3156	1652	72	13	88	0.480	0
3	1769	1098	230	13	95	0.320	0
4	1324	1605	372	6	72	0.350	0
5	3865	1135	411	15	78	0.300	0
7	1596	682	302	11	105	0.320	0
3	1855	1205	391	8	95	0.310	1
8	2162	1506	454	10	70	0.270	0
5	3515	1339	396	5	103	0.040	1
4	3398	956	203	5	71	0.190	1
6	2776	805	194	19	93	0.480	0
6	1447	999	179	7	51	0.280	0
7	4332	746	367	9	65	0.360	1
4	4367	747	474	18	118	0.420	1
3	3799	896	119	12	65	0.240	0
5	4116	537	40	6	84	0.300	0
3	4716	1678	450	16	89	0.180	0
6	1428	504	446	15	70	0.060	0
3	3159	1698	41	18	76	0.430	0
8	1415	647	388	16	63	0.050	0
6	1537	816	240	12	59	0.430	0
3	469	1036	284	13	54	0.350	0
5	3860	1712	89	8	79	0.130	0
3	4521	839	321	16	82	0.410	0
7	373	837	262	6	117	0.290	0
4	3206	1967	220	9	110	0.250	0
8	752	1570	3	8	93	0.360	0
3	1584	1132	86	5	117	0.180	0
6	3463	882	452	16	96	0.160	0
6	1389	768	195	13	53	0.200	0
3	1220	657	24	7	59	0.140	0
8	687	1892	425	15	118	0.210	0
7	880	969	346	15	71	0.340	0
4	4743	1676	177	13	72	0.390	0
6	4887	1669	384	15	67	0.180	0
7	1319	811	244	16	86	0.410	0
8	2057	533	47	14	53	0.340	0
4	3739	1292	10	17	92	0.440	0
3	3482	1156	239	17	50	0.450	0
4	2909	1277	294	8	62	0.250	0
3	2088	1308	253	18	72	0.430	0
8	1219	762	471	5	97	0.280	1
4	1959	689	485	16	116	0.160	0
5	2661	1470	421	10	81	0.330	0
3	1548	1145	384	17	76	0.390	0
5	1569	1158	147	17	81	0.110	0
3	2333	554	272	5	119	0.310	1
5	2681	812	338	14	84	0.130	0
3	2138	1067	420	7	53	0.090	1
3	3821	1094	495	5	71	0.160	1
5	4743	637	283	12	104	0.120	1
4	3050	1188	246	8	66	0.380	1
5	2281	1121	444	13	50	0.480	0
5	3812	902	333	8	57	0.050	0
6	2393	1773	188	13	94	0.340	0
6	2632	759	411	16	107	0.270	0
7	4674	1978	291	5	113	0.070	1
5	1930	1862	386	13	93	0.410	0
8	3045	1331	6	7	84	0.130	0
5	1037	548	217	12	111	0.020	0
8	2132	919	2	19	118	0.320	0
5	3838	1915	333	11	89	0.320	0
3	3553	1848	196	6	56	0.040	0
7	939	1588	245	11	91	0.130	0
6	1786	1322	157	19	87	0.310	0
6	4340	1845	176	16	118	0.170	0
4	4067	1294	461	9	94	0.240	1
3	4103	1381	402	18	89	0.370	0
8	4711	1208	460	7	103	0.400	1
4	4667	581	146	5	111	0.330	1
8	1855	748	476	10	83	0.270	1
4	1021	1453	415	13	111	0.480	0
6	2632	1198	211	15	68	0.170	0
3	4770	809	284	17	78	0.490	0
4	1294	1133	118	17	90	0.300	0
3	3835	555	151	17	69	0.410	0
5	3049	1534	323	17	100	0.190	0
6	565	877	2	6	105	0.240	0
7	4221	1819	228	15	103	0.340	0
6	2926	1410	475	13	56	0.230	0
3	2576	876	14	8	68	0.390	0
6	1869	1462	186	7	109	0.220	0
8	1280	1838	201	7	100	0.050	0
8	323	1194	67	9	100	0.360	0
5	3756	1553	211	8	71	0.280	0
8	2919	1875	40	15	69	0.360	0
8	4588	1232	150	17	104	0.430	0
5	4690	1976	156	18	61	0.350	0
7	390	1621	478	8	90	0.070	0
3	2377	1637	68	5	87	0.360	0
6	550	1045	467	18	84	0.320	0
4	3902	1367	152	12	117	0.300	0
4	2450	1911	433	7	57	0.200	1
7	3183	1731	395	6	85	0.470	1
7	4838	1553	51	10	55	0.480	0
8	4591	897	109	5	108	0.470	1
3	1160	1201	435	8	90	0.340	0
5	319	506	385	12	117	0.470	0
3	379	1577	114	9	98	0.080	0
8	4175	1801	393	14	115	0.480	1
4	4902	716	301	9	68	0.030	0
4	475	1261	82	5	105	0.260	0
8	4597	1854	80	10	77	0.010	0
3	162	1583	116	11	83	0.260	0
7	2918	809	229	8	52	0.390	1
8	2395	1919	355	17	102	0.110	0
6	3869	1314	215	6	73	0.120	1
5	2936	1104	236	19	63	0.110	0
8	1012	1188	311	11	116	0.280	0
8	3498	1160	421	11	72	0.310	0
7	4989	1838	226	5	84	0.250	1
4	3462	846	72	12	71	0.350	0
3	1174	795	245	9	97	0.180	0
4	2507	1698	210	19	94	0.350	0
8	1051	776	22	18	105	0.090	0
3	553	1526	203	5	66	0.200	0
8	2605	860	463	14	82	0.410	0
