ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.720795997573853	1.43859339068604	72.541785888916	320.230012579102	6.6514295637207	27.1356014561462	653.637084960937	219.972263580124	78.5431823730469	123.30712890625	3.49044765209961	868.680725097656	128.042364898163	69.0618438720703	13.5678100585938	13.4205491075439	14.2451538312988	16.056396484375	8.81584490185547	28.815185546875	-1
5.18274350543213	2.23886745504761	116.807701117767	284.044962538971	34.4691763974609	66.9571565455627	622.615814208984	103.600594245728	6.695068359375	333.514038085938	2.89124390087891	455.820007324219	133.293283997955	44.4876708984375	251.315155029297	10.6264219420166	3.35943354016113	65.072509765625	0.758140739257812	63.80712890625	-1
1.19920649905396	4.31045644393921	333.886848104233	102.656461342072	48.4865978283691	19.7559910336304	482.534637451172	186.202718968079	59.2676696777344	83.36376953125	16.1900004889832	891.713562011719	275.181157759094	77.5771636962891	161.433990478516	8.55867263928223	21.9647207868652	48.5	10.806526359375	52.66748046875	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
3.20215044398499	1.60589339820862	134.905311531784	432.336753670715	29.5599697324219	19.6753276405334	447.322082519531	75.2931245375061	20.6713256835938	196.625854492188	1.91468445394897	580.212707519531	381.983344807983	10.400390625	102.5458984375	10.7025821373291	13.5312834394531	44.2717895507812	20.3072572553711	45.4541015625	-1
1.77575769801331	5.6512302858429	469.234851285461	322.463911827667	23.5129180559082	8.80975058120728	432.902526855469	177.586311484894	16.2542724609375	120.107177734375	3.80241404956055	346.615905761719	265.533536063782	20.956787109375	207.484603881836	12.5256668126221	20.7114316785889	8.934326171875	10.108838065918	45.9241333007812	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.857034791900635	2.8295262724762	242.159514279709	174.501543626587	5.54413072705078	52.4224851461792	595.045623779297	292.11429537529	53.7327575683594	254.007080078125	13.5047592340088	888.820037841797	226.47197400444	115.873352050781	85.7072906494141	13.7192398735352	17.3046442640381	58.3914184570312	12.1832292402344	38.9442138671875	-1
2.5385323943634	1.29379270558166	73.8527616291504	236.155103993683	44.672689717041	47.5063783506775	325.188446044922	288.107101502106	102.640594482422	250.645263671875	1.01873217831421	860.336608886719	265.433040004456	20.0987548828125	141.177490234375	11.0602970546875	15.3599739301758	69.9969482421875	8.20894945507812	15.1199340820312	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
