ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
3.498159	4.116538	360.552885	439.329319	0	54.760312	900	231.424053	115	125	8.575947	900	118.15569	86	46	13.84431	4.526111	17	7.506667	38	1
5.115034	5.604969	580.259905	553.3272	11.552529	45.554941	330	106.165916	32	58	8.834084	900	86.60282	21	74	8.39718	11.658889	58	7.804444	52	1
5.462419	1.763432	520.215686	181.564385	0	33.322107	330	188.525735	50	147	8.474265	390	390.829535	43	351	3.170465	10.476111	41	7.962222	37	1
3.956896	4.36509	344.193724	503.494845	25.000482	33.019721	900	283.816274	30	269	15.183726	600	227.042667	36	204.5	13.457333	4.422222	28	5.262222	30	1
5.47722	3.509068	579.189789	406.180365	67.263619	54.906841	900	51.63334	33	31	12.36666	900	129.923603	28	112	10.076397	2.882778	17	3.872778	12	1
5.359449	1.03467	545.095886	113.305569	44.575618	21.598737	900	156.160446	37	133	13.839554	900	271.865369	64	213	5.134631	8.455	23	6.891667	22	1
6.401541	2.804233	639.379454	275.679566	56.575076	18.427601	900	192.645824	46	151	4.354176	390	186.597226	38.5	157.5	9.402774	7.332222	34	7.992778	41	1
3.60555	4.481076	314.488817	442.39263	35.167883	41.408406	900	74.362849	4	77	6.637151	780	203.920784	45.5	166	7.579216	4.956667	58	6.135	53	1
6.212734	6.171251	578.827044	605.161471	26.874057	32.746648	900	258.106868	74	195	10.893132	900	62.970013	59	10	6.029987	8.961667	49	7.25	51	1
5.81959	5.188414	649.723723	584.647131	26.312204	41.954491	900	301.961653	45	258	1.038347	420	201.973286	36.5	175.5	10.026714	4.903333	29	5.872222	35	1
5.618834	2.559091	626.357317	253.570533	14.457479	56.431459	900	180.08327	82	110	11.91673	900	265.208835	174	95	3.791165	4.743333	35	6.147778	45	1
6.218213	3.260459	541.947317	339.132937	52.123017	7.584323	390	218.668072	35.5	188.5	5.331928	315	123.977507	36	101	7.022493	13.141111	45	12.372222	39	1
5.532622	3.606413	663.041819	351.379481	13.972209	47.672314	630	193.36503	66.5	142	15.13497	300	114.596188	31	74	6.403812	9.405556	43	12.856667	45	1
3.457844	2.973731	373.436179	319.53763	30.233623	50.472058	900	383.438372	125	267	8.561628	900	172.798838	70	115	12.201162	6.346667	53	5.845	48	1
6.640588	4.405205	655.863245	462.055763	49.677548	54.602752	900	120.660499	69	56	4.339501	750	174.618001	28.5	157	10.881999	7.870556	56	10.243889	62	1
6.531551	2.651247	634.436406	299.793892	33.955679	15.571334	300	243.468766	17	223	8.531234	570	242.795967	42	206	5.204033	7.508333	22	7.917222	24	1
4.949741	3.634664	507.759974	371.733308	42.351254	21.182064	570	105.824628	7.5	103	4.675372	480	234.987604	52.5	188	5.512396	11.921667	59	12.747222	57	1
2.651024	6.151653	261.06147	601.910461	55.996123	31.584724	900	135.076039	14	130	8.923961	780	199.806772	18.5	194	12.693228	9.183889	54	11.292222	57	1
3.50957	3.148864	381.439581	314.835964	38.115779	26.562645	630	319.531056	36	284.5	0.968944	900	206.257463	81	130	4.742537	9.8	56	7.111667	57	1
6.069951	6.532298	611.568942	580.094325	21.035446	40.439883	570	173.328525	30	156.5	13.171475	360	352.178766	44.5	313	5.321234	2.958333	17	4.303889	24	1
4.0593	1.421988	415.495082	145.559197	29.894913	49.450813	345	292.357633	9	288	4.642367	900	379.903751	49	346	15.096249	6.503889	30	3.167778	29	1
5.580134	5.389115	506.149043	598.257953	16.273143	12.00061	390	326.774573	10	321	4.225427	315	70.347811	30	53	12.652189	10.293333	42	11.333333	38	1
5.448944	4.185311	567.651386	409.102847	9.505682	23.19313	900	201.984358	41	172	11.015642	900	128.687324	28	111	10.312676	3.808889	17	6.262778	22	1
3.374073	3.170914	348.202948	319.624483	33.038046	16.270367	480	80.721743	28	57	4.278257	900	219.489011	27	208	15.510989	7.401111	32	5.706667	32	1
5.314787	5.657032	608.34634	618.282469	27.443627	62.542571	750	176.934769	36.5	150.5	10.065231	900	189.644429	20	177	7.355571	8.818333	28	7.307778	35	1
5.838008	3.567832	702.553849	310.696416	42.856441	58.646737	840	341.209754	21.5	326	6.290246	900	357.522453	131	236	9.477547	9.526667	47	12.663889	53	1
3.985073	6.149609	357.22626	640.429947	61.28358	47.383319	420	239.671238	62	181.5	3.828762	900	157.026652	45	127	14.973348	5.071111	45	9.996667	46	1
2.375413	5.802938	236.499801	660.127462	63.949888	31.080674	900	118.483909	20	106	7.516091	750	303.879805	65	248	9.120195	2.919444	15	3.325556	18	1
4.719055	4.278154	523.365465	389.011332	42.988137	20.177898	900	200.118719	27	182	8.881281	900	414.018326	34	383	2.981674	4.906111	51	9.608889	47	1
5.010752	4.459895	556.111169	436.719419	60.460523	59.234615	900	204.353958	48	163	6.646042	600	200.615119	37	167.5	3.884881	5.383889	39	7.961667	38	1
4.129369	2.72618	400.099846	301.177543	18.630757	53.044642	900	185.973169	49	142	5.026831	900	64.630794	39	36	10.369206	5.797778	41	5.255556	40	1
